,output_text,vector, ,index,output_data_source
257,"روی بنما و مرا گو که ز جان دل برگير
پيش شمع آتش پروا نه به جان گو درگير
در لب تشنه ما بين و مدار آب دريغ
بر سر کشته خويش آی و ز خاکش برگير
ترک درويش مگير ار نبود سيم و زرش
در غمت سيم شمار اشک و رخش را زر گير
چنگ بنواز و بساز ار نبود عود چه باک
آتشم عشق و دلم عود و تنم مجمر گير
در سماع آی و ز سر خرقه برانداز و برقص
ور نه با گوشه رو و خرقه ما در سر گير
صوف برکش ز سر و باده صافی درکش
سيم درباز و به زر سيمبری در بر گير
دوست گو يار شو و هر دو جهان دشمن باش
بخت گو پشت مکن روی زمين لشکر گير
ميل رفتن مکن ای دوست دمی با ما باش
بر لب جوی طرب جوی و به کف ساغر گير
رفته گير از برم وز آتش و آب دل و چشم
گونه‌ام زرد و لبم خشک و کنارم تر گير
حافظ آراسته کن بزم و بگو واعظ را
که ببين مجلسم و ترک سر منبر گير",[[0.00505116 0.00690974 0.01557965 ... 0.02566781 0.00670335 0.01782855]],,258,غزلیات حافظ
258,"هزار شکر که ديدم به کام خويشت باز
ز روی صدق و صفا گشته با دلم دمساز
روندگان طريقت ره بلا سپرند
رفيق عشق چه غم دارد از نشيب و فراز
غم حبيب نهان به ز گفت و گوی رقيب
که نيست سينه ارباب کينه محرم راز
اگر چه حسن تو از عشق غير مستغنيست
من آن نيم که از اين عشقبازی آيم باز
چه گويمت که ز سوز درون چه می‌بينم
ز اشک پرس حکايت که من نيم غماز
چه فتنه بود که مشاطه قضا انگيخت
که کرد نرگس مستش سيه به سرمه ناز
بدين سپاس که مجلس منور است به دوست
گرت چو شمع جفايی رسد بسوز و بساز
غرض کرشمه حسن است ور نه حاجت نيست
جمال دولت محمود را به زلف اياز
غزل سرايی ناهيد صرفه‌ای نبرد
در آن مقام که حافظ برآورد آواز",[[0.00850461 0.000348   0.01307104 ... 0.01327368 0.01574841 0.01581536]],,259,غزلیات حافظ
259,"منم که ديده به ديدار دوست کردم باز
چه شکر گويمت ای کارساز بنده نواز
نيازمند بلا گو رخ از غبار مشوی
که کيميای مراد است خاک کوی نياز
ز مشکلات طريقت عنان متاب ای دل
که مرد راه نينديشد از نشيب و فراز
طهارت ار نه به خون جگر کند عاشق
به قول مفتی عشقش درست نيست نماز
در اين مقام مجازی بجز پياله مگير
در اين سراچه بازيچه غير عشق مباز
به نيم بوسه دعايی بخر ز اهل دلی
که کيد دشمنت از جان و جسم دارد باز
فکند زمزمه عشق در حجاز و عراق
نوای بانگ غزل‌های حافظ از شيراز",[[0.00577942 0.00896063 0.00124807 ... 0.05663199 0.01423638 0.02114421]],,260,غزلیات حافظ
260,"ای سرو ناز حسن که خوش می‌روی به ناز
عشاق را به ناز تو هر لحظه صد نياز
فرخنده باد طلعت خوبت که در ازل
ببريده‌اند بر قد سروت قبای ناز
آن را که بوی عنبر زلف تو آرزوست
چون عود گو بر آتش سودا بسوز و ساز
پروانه را ز شمع بود سوز دل ولی
بی شمع عارض تو دلم را بود گداز
صوفی که بی تو توبه ز می کرده بود دوش
بشکست عهد چون در ميخانه ديد باز
از طعنه رقيب نگردد عيار من
چون زر اگر برند مرا در دهان گاز
دل کز طواف کعبه کويت وقوف يافت
از شوق آن حريم ندارد سر حجاز
هر دم به خون ديده چه حاجت وضو چو نيست
بی طاق ابروی تو نماز مرا جواز
چون باده باز بر سر خم رفت کف زنان
حافظ که دوش از لب ساقی شنيد راز",[[0.00906038 0.00120199 0.00759159 ... 0.01242658 0.00954346 0.02419852]],,261,غزلیات حافظ
261,"درآ که در دل خسته توان درآيد باز
بيا که در تن مرده روان درآيد باز
بيا که فرقت تو چشم من چنان در بست
که فتح باب وصالت مگر گشايد باز
غمی که چون سپه زنگ ملک دل بگرفت
ز خيل شادی روم رخت زدايد باز
به پيش آينه دل هر آن چه می‌دارم
بجز خيال جمالت نمی‌نمايد باز
بدان مثل که شب آبستن است روز از تو
ستاره می‌شمرم تا که شب چه زايد باز
بيا که بلبل مطبوع خاطر حافظ
به بوی گلبن وصل تو می‌سرايد باز",[[0.0087641  0.01015806 0.00098629 ... 0.00574048 0.00618889 0.02841526]],,262,غزلیات حافظ
262,"حال خونين دلان که گويد باز
و از فلک خون خم که جويد باز
شرمش از چشم می پرستان باد
نرگس مست اگر برويد باز
جز فلاطون خم نشين شراب
سر حکمت به ما که گويد باز
هر که چون لاله کاسه گردان شد
زين جفا رخ به خون بشويد باز
نگشايد دلم چو غنچه اگر
ساغری از لبش نبويد باز
بس که در پرده چنگ گفت سخن
ببرش موی تا نمويد باز
گرد بيت الحرام خم حافظ
گر نميرد به سر بپويد باز","[[ 0.00509112  0.00769357  0.00567404 ...  0.00550193 -0.00125442
   0.02193446]]",,263,غزلیات حافظ
263,"بيا و کشتی ما در شط شراب انداز
خروش و ولوله در جان شيخ و شاب انداز
مرا به کشتی باده درافکن ای ساقی
که گفته‌اند نکويی کن و در آب انداز
ز کوی ميکده برگشته‌ام ز راه خطا
مرا دگر ز کرم با ره صواب انداز
بيار زان می گلرنگ مشک بو جامی
شرار رشک و حسد در دل گلاب انداز
اگر چه مست و خرابم تو نيز لطفی کن
نظر بر اين دل سرگشته خراب انداز
به نيم شب اگرت آفتاب می‌بايد
ز روی دختر گلچهر رز نقاب انداز
مهل که روز وفاتم به خاک بسپارند
مرا به ميکده بر در خم شراب انداز
ز جور چرخ چو حافظ به جان رسيد دلت
به سوی ديو محن ناوک شهاب انداز",[[0.00673068 0.00590751 0.00620459 ... 0.00449693 0.01051372 0.01755118]],,264,غزلیات حافظ
264,"خيز و در کاسه زر آب طربناک انداز
پيشتر زان که شود کاسه سر خاک انداز
عاقبت منزل ما وادی خاموشان است
حاليا غلغله در گنبد افلاک انداز
چشم آلوده نظر از رخ جانان دور است
بر رخ او نظر از آينه پاک انداز
به سر سبز تو ای سرو که گر خاک شوم
ناز از سر بنه و سايه بر اين خاک انداز
دل ما را که ز مار سر زلف تو بخست
از لب خود به شفاخانه ترياک انداز
ملک اين مزرعه دانی که ثباتی ندهد
آتشی از جگر جام در املاک انداز
غسل در اشک زدم کاهل طريقت گويند
پاک شو اول و پس ديده بر آن پاک انداز
يا رب آن زاهد خودبين که بجز عيب نديد
دود آهيش در آيينه ادراک انداز
چون گل از نکهت او جامه قبا کن حافظ
وين قبا در ره آن قامت چالاک انداز",[[0.0069216  0.01075691 0.00419561 ... 0.00907264 0.00901802 0.02524896]],,265,غزلیات حافظ
265,"برنيامد از تمنای لبت کامم هنوز
بر اميد جام لعلت دردی آشامم هنوز
روز اول رفت دينم در سر زلفين تو
تا چه خواهد شد در اين سودا سرانجامم هنوز
ساقيا يک جرعه‌ای زان آب آتشگون که من
در ميان پختگان عشق او خامم هنوز
از خطا گفتم شبی زلف تو را مشک ختن
می‌زند هر لحظه تيغی مو بر اندامم هنوز
پرتو روی تو تا در خلوتم ديد آفتاب
می‌رود چون سايه هر دم بر در و بامم هنوز
نام من رفته‌ست روزی بر لب جانان به سهو
اهل دل را بوی جان می‌آيد از نامم هنوز
در ازل داده‌ست ما را ساقی لعل لبت
جرعه جامی که من مدهوش آن جامم هنوز
ای که گفتی جان بده تا باشدت آرام جان
جان به غم‌هايش سپردم نيست آرامم هنوز
در قلم آورد حافظ قصه لعل لبش
آب حيوان می‌رود هر دم ز اقلامم هنوز",[[0.00410667 0.01479951 0.00496691 ... 0.01529536 0.00767238 0.0218677 ]],,266,غزلیات حافظ
266,"دلم رميده لولی‌وشيست شورانگيز
دروغ وعده و قتال وضع و رنگ آميز
فدای پيرهن چاک ماه رويان باد
هزار جامه تقوا و خرقه پرهيز
خيال خال تو با خود به خاک خواهم برد
که تا ز خال تو خاکم شود عبيرآميز
فرشته عشق نداند که چيست ای ساقی
بخواه جام و گلابی به خاک آدم ريز
پياله بر کفنم بند تا سحرگه حشر
به می ز دل ببرم هول روز رستاخيز
فقير و خسته به درگاهت آمدم رحمی
که جز ولای توام نيست هيچ دست آويز
بيا که هاتف ميخانه دوش با من گفت
که در مقام رضا باش و از قضا مگريز
ميان عاشق و معشوق هيچ حال نيست
تو خود حجاب خودی حافظ از ميان برخيز","[[ 1.0490593e-02 -1.9017441e-05  1.0282757e-02 ...  1.5463819e-02
   1.4702152e-02  1.0638400e-02]]",,267,غزلیات حافظ
267,"ای صبا گر بگذری بر ساحل رود ارس
بوسه زن بر خاک آن وادی و مشکين کن نفس
منزل سلمی که بادش هر دم از ما صد سلام
پرصدای ساربانان بينی و بانگ جرس
محمل جانان ببوس آن گه به زاری عرضه دار
کز فراقت سوختم ای مهربان فرياد رس
من که قول ناصحان را خواندمی قول رباب
گوشمالی ديدم از هجران که اينم پند بس
عشرت شبگير کن می نوش کاندر راه عشق
شب روان را آشنايی‌هاست با مير عسس
عشقبازی کار بازی نيست ای دل سر بباز
زان که گوی عشق نتوان زد به چوگان هوس
دل به رغبت می‌سپارد جان به چشم مست يار
گر چه هشياران ندادند اختيار خود به کس
طوطيان در شکرستان کامرانی می‌کنند
و از تحسر دست بر سر می‌زند مسکين مگس
نام حافظ گر برآيد بر زبان کلک دوست
از جناب حضرت شاهم بس است اين ملتمس",[[0.00309923 0.00102802 0.03309898 ... 0.04983719 0.00126236 0.01140194]],,268,غزلیات حافظ
268,"گلعذاری ز گلستان جهان ما را بس
زين چمن سايه آن سرو روان ما را بس
من و همصحبتی اهل ريا دورم باد
از گرانان جهان رطل گران ما را بس
قصر فردوس به پاداش عمل می‌بخشند
ما که رنديم و گدا دير مغان ما را بس
بنشين بر لب جوی و گذر عمر ببين
کاين اشارت ز جهان گذران ما را بس
نقد بازار جهان بنگر و آزار جهان
گر شما را نه بس اين سود و زيان ما را بس
يار با ماست چه حاجت که زيادت طلبيم
دولت صحبت آن مونس جان ما را بس
از در خويش خدا را به بهشتم مفرست
که سر کوی تو از کون و مکان ما را بس
حافظ از مشرب قسمت گله ناانصافيست
طبع چون آب و غزل‌های روان ما را بس",[[0.00440418 0.00155433 0.00510826 ... 0.01082969 0.00950084 0.02022561]],,269,غزلیات حافظ
269,"دلا رفيق سفر بخت نيکخواهت بس
نسيم روضه شيراز پيک راهت بس
دگر ز منزل جانان سفر مکن درويش
که سير معنوی و کنج خانقاهت بس
وگر کمين بگشايد غمی ز گوشه دل
حريم درگه پير مغان پناهت بس
به صدر مصطبه بنشين و ساغر می‌نوش
که اين قدر ز جهان کسب مال و جاهت بس
زيادتی مطلب کار بر خود آسان کن
صراحی می لعل و بتی چو ماهت بس
فلک به مردم نادان دهد زمام مراد
تو اهل فضلی و دانش همين گناهت بس
هوای مسکن ملوف و عهد يار قديم
ز ره روان سفرکرده عذرخواهت بس
به منت دگران خو مکن که در دو جهان
رضای ايزد و انعام پادشاهت بس
به هيچ ورد دگر نيست حاجت ای حافظ
دعای نيم شب و درس صبحگاهت بس",[[0.00264607 0.00066409 0.00652412 ... 0.00881339 0.01183283 0.01788284]],,270,غزلیات حافظ
270,"درد عشقی کشيده‌ام که مپرس
زهر هجری چشيده‌ام که مپرس
گشته‌ام در جهان و آخر کار
دلبری برگزيده‌ام که مپرس
آن چنان در هوای خاک درش
می‌رود آب ديده‌ام که مپرس
من به گوش خود از دهانش دوش
سخنانی شنيده‌ام که مپرس
سوی من لب چه می‌گزی که مگوی
لب لعلی گزيده‌ام که مپرس
بی تو در کلبه گدايی خويش
رنج‌هايی کشيده‌ام که مپرس
همچو حافظ غريب در ره عشق
به مقامی رسيده‌ام که مپرس","[[ 1.3989062e-02 -2.8418499e-05  4.9382118e-03 ...  1.4441798e-03
   6.6381232e-03  1.5430990e-02]]",,271,غزلیات حافظ
271,"دارم از زلف سياهش گله چندان که مپرس
که چنان ز او شده‌ام بی سر و سامان که مپرس
کس به اميد وفا ترک دل و دين مکناد
که چنانم من از اين کرده پشيمان که مپرس
به يکی جرعه که آزار کسش در پی نيست
زحمتی می‌کشم از مردم نادان که مپرس
زاهد از ما به سلامت بگذر کاين می لعل
دل و دين می‌برد از دست بدان سان که مپرس
گفت‌وگوهاست در اين راه که جان بگدازد
هر کسی عربده‌ای اين که مبين آن که مپرس
پارسايی و سلامت هوسم بود ولی
شيوه‌ای می‌کند آن نرگس فتان که مپرس
گفتم از گوی فلک صورت حالی پرسم
گفت آن می‌کشم اندر خم چوگان که مپرس
گفتمش زلف به خون که شکستی گفتا
حافظ اين قصه دراز است به قرآن که مپرس",[[0.00693937 0.01373624 0.00763755 ... 0.01627321 0.01708398 0.0243561 ]],,272,غزلیات حافظ
272,"بازآی و دل تنگ مرا مونس جان باش
وين سوخته را محرم اسرار نهان باش
زان باده که در ميکده عشق فروشند
ما را دو سه ساغر بده و گو رمضان باش
در خرقه چو آتش زدی ای عارف سالک
جهدی کن و سرحلقه رندان جهان باش
دلدار که گفتا به توام دل نگران است
گو می‌رسم اينک به سلامت نگران باش
خون شد دلم از حسرت آن لعل روان بخش
ای درج محبت به همان مهر و نشان باش
تا بر دلش از غصه غباری ننشيند
ای سيل سرشک از عقب نامه روان باش
حافظ که هوس می‌کندش جام جهان بين
گو در نظر آصف جمشيد مکان باش",[[0.0037204  0.0042903  0.00878994 ... 0.02514325 0.01173318 0.01435425]],,273,غزلیات حافظ
273,"اگر رفيق شفيقی درست پيمان باش
حريف خانه و گرمابه و گلستان باش
شکنج زلف پريشان به دست باد مده
مگو که خاطر عشاق گو پريشان باش
گرت هواست که با خضر همنشين باشی
نهان ز چشم سکندر چو آب حيوان باش
زبور عشق نوازی نه کار هر مرغيست
بيا و نوگل اين بلبل غزل خوان باش
طريق خدمت و آيين بندگی کردن
خدای را که رها کن به ما و سلطان باش
دگر به صيد حرم تيغ برمکش زنهار
و از آن که با دل ما کرده‌ای پشيمان باش
تو شمع انجمنی يک زبان و يک دل شو
خيال و کوشش پروانه بين و خندان باش
کمال دلبری و حسن در نظربازيست
به شيوه نظر از نادران دوران باش
خموش حافظ و از جور يار ناله مکن
تو را که گفت که در روی خوب حيران باش",[[0.00186789 0.03404165 0.00809081 ... 0.01213104 0.00431453 0.01477423]],,274,غزلیات حافظ
274,"به دور لاله قدح گير و بی‌ريا می‌باش
به بوی گل نفسی همدم صبا می‌باش
نگويمت که همه ساله می پرستی کن
سه ماه می خور و نه ماه پارسا می‌باش
چو پير سالک عشقت به می حواله کند
بنوش و منتظر رحمت خدا می‌باش
گرت هواست که چون جم به سر غيب رسی
بيا و همدم جام جهان نما می‌باش
چو غنچه گر چه فروبستگيست کار جهان
تو همچو باد بهاری گره گشا می‌باش
وفا مجوی ز کس ور سخن نمی‌شنوی
به هرزه طالب سيمرغ و کيميا می‌باش
مريد طاعت بيگانگان مشو حافظ
ولی معاشر رندان پارسا می‌باش",[[0.00403248 0.01000028 0.00430292 ... 0.00748056 0.00705796 0.01505676]],,275,غزلیات حافظ
275,"صوفی گلی بچين و مرقع به خار بخش
وين زهد خشک را به می خوشگوار بخش
طامات و شطح در ره آهنگ چنگ نه
تسبيح و طيلسان به می و ميگسار بخش
زهد گران که شاهد و ساقی نمی‌خرند
در حلقه چمن به نسيم بهار بخش
راهم شراب لعل زد ای مير عاشقان
خون مرا به چاه زنخدان يار بخش
يا رب به وقت گل گنه بنده عفو کن
وين ماجرا به سرو لب جويبار بخش
ای آن که ره به مشرب مقصود برده‌ای
زين بحر قطره‌ای به من خاکسار بخش
شکرانه را که چشم تو روی بتان نديد
ما را به عفو و لطف خداوندگار بخش
ساقی چو شاه نوش کند باده صبوح
گو جام زر به حافظ شب زنده دار بخش",[[0.00479073 0.00373374 0.00349045 ... 0.00706357 0.00115433 0.02092546]],,276,غزلیات حافظ
276,"باغبان گر پنج روزی صحبت گل بايدش
بر جفای خار هجران صبر بلبل بايدش
ای دل اندربند زلفش از پريشانی منال
مرغ زيرک چون به دام افتد تحمل بايدش
رند عالم سوز را با مصلحت بينی چه کار
کار ملک است آن که تدبير و تامل بايدش
تکيه بر تقوا و دانش در طريقت کافريست
راهرو گر صد هنر دارد توکل بايدش
با چنين زلف و رخش بادا نظربازی حرام
هر که روی ياسمين و جعد سنبل بايدش
نازها زان نرگس مستانه‌اش بايد کشيد
اين دل شوريده تا آن جعد و کاکل بايدش
ساقيا در گردش ساغر تعلل تا به چند
دور چون با عاشقان افتد تسلسل بايدش
کيست حافظ تا ننوشد باده بی آواز رود
عاشق مسکين چرا چندين تجمل بايدش",[[0.00213798 0.00313503 0.01749144 ... 0.01592608 0.01033034 0.02650412]],,277,غزلیات حافظ
277,"فکر بلبل همه آن است که گل شد يارش
گل در انديشه که چون عشوه کند در کارش
دلربايی همه آن نيست که عاشق بکشند
خواجه آن است که باشد غم خدمتگارش
جای آن است که خون موج زند در دل لعل
زين تغابن که خزف می‌شکند بازارش
بلبل از فيض گل آموخت سخن ور نه نبود
اين همه قول و غزل تعبيه در منقارش
ای که در کوچه معشوقه ما می‌گذری
بر حذر باش که سر می‌شکند ديوارش
آن سفرکرده که صد قافله دل همره اوست
هر کجا هست خدايا به سلامت دارش
صحبت عافيتت گر چه خوش افتاد ای دل
جانب عشق عزيز است فرومگذارش
صوفی سرخوش از اين دست که کج کرد کلاه
به دو جام دگر آشفته شود دستارش
دل حافظ که به ديدار تو خوگر شده بود
نازپرورد وصال است مجو آزارش","[[ 1.8601252e-03 -3.8522256e-05  4.4282652e-03 ...  2.7999498e-03
   8.8019045e-03  1.9955013e-02]]",,278,غزلیات حافظ
278,"شراب تلخ می‌خواهم که مردافکن بود زورش
که تا يک دم بياسايم ز دنيا و شر و شورش
سماط دهر دون پرور ندارد شهد آسايش
مذاق حرص و آز ای دل بشو از تلخ و از شورش
بياور می که نتوان شد ز مکر آسمان ايمن
به لعب زهره چنگی و مريخ سلحشورش
کمند صيد بهرامی بيفکن جام جم بردار
که من پيمودم اين صحرا نه بهرام است و نه گورش
بيا تا در می صافيت راز دهر بنمايم
به شرط آن که ننمايی به کج طبعان دل کورش
نظر کردن به درويشان منافی بزرگی نيست
سليمان با چنان حشمت نظرها بود با مورش
کمان ابروی جانان نمی‌پيچد سر از حافظ
وليکن خنده می‌آيد بدين بازوی بی زورش","[[ 3.4412986e-03 -2.3649185e-05  1.3347468e-02 ...  2.3860116e-02
   1.9060647e-02  2.2381412e-02]]",,279,غزلیات حافظ
279,"خوشا شيراز و وضع بی‌مثالش
خداوندا نگه دار از زوالش
ز رکن آباد ما صد لوحش الله
که عمر خضر می‌بخشد زلالش
ميان جعفرآباد و مصلا
عبيرآميز می‌آيد شمالش
به شيراز آی و فيض روح قدسی
بجوی از مردم صاحب کمالش
که نام قند مصری برد آن جا
که شيرينان ندادند انفعالش
صبا زان لولی شنگول سرمست
چه داری آگهی چون است حالش
گر آن شيرين پسر خونم بريزد
دلا چون شير مادر کن حلالش
مکن از خواب بيدارم خدا را
که دارم خلوتی خوش با خيالش
چرا حافظ چو می‌ترسيدی از هجر
نکردی شکر ايام وصالش",[[0.00860749 0.00484088 0.00913258 ... 0.01298714 0.00173247 0.01445476]],,280,غزلیات حافظ
280,"چو برشکست صبا زلف عنبرافشانش
به هر شکسته که پيوست تازه شد جانش
کجاست همنفسی تا به شرح عرضه دهم
که دل چه می‌کشد از روزگار هجرانش
زمانه از ورق گل مثال روی تو بست
ولی ز شرم تو در غنچه کرد پنهانش
تو خفته‌ای و نشد عشق را کرانه پديد
تبارک الله از اين ره که نيست پايانش
جمال کعبه مگر عذر ره روان خواهد
که جان زنده دلان سوخت در بيابانش
بدين شکسته بيت الحزن که می‌آرد
نشان يوسف دل از چه زنخدانش
بگيرم آن سر زلف و به دست خواجه دهم
که سوخت حافظ بی‌دل ز مکر و دستانش",[[0.0059282  0.00582843 0.00306283 ... 0.01285449 0.00697548 0.01838803]],,281,غزلیات حافظ
281,"يا رب اين نوگل خندان که سپردی به منش
می‌سپارم به تو از چشم حسود چمنش
گر چه از کوی وفا گشت به صد مرحله دور
دور باد آفت دور فلک از جان و تنش
گر به سرمنزل سلمی رسی ای باد صبا
چشم دارم که سلامی برسانی ز منش
به ادب نافه گشايی کن از آن زلف سياه
جای دل‌های عزيز است به هم برمزنش
گو دلم حق وفا با خط و خالت دارد
محترم دار در آن طره عنبرشکنش
در مقامی که به ياد لب او می نوشند
سفله آن مست که باشد خبر از خويشتنش
عرض و مال از در ميخانه نشايد اندوخت
هر که اين آب خورد رخت به دريا فکنش
هر که ترسد ز ملال انده عشقش نه حلال
سر ما و قدمش يا لب ما و دهنش
شعر حافظ همه بيت الغزل معرفت است
آفرين بر نفس دلکش و لطف سخنش",[[0.00618504 0.00895032 0.00205296 ... 0.01198124 0.01256899 0.02716818]],,282,غزلیات حافظ
282,"ببرد از من قرار و طاقت و هوش
بت سنگين دل سيمين بناگوش
نگاری چابکی شنگی کلهدار
ظريفی مه وشی ترکی قباپوش
ز تاب آتش سودای عشقش
به سان ديگ دايم می‌زنم جوش
چو پيراهن شوم آسوده خاطر
گرش همچون قبا گيرم در آغوش
اگر پوسيده گردد استخوانم
نگردد مهرت از جانم فراموش
دل و دينم دل و دينم ببرده‌ست
بر و دوشش بر و دوشش بر و دوش
دوای تو دوای توست حافظ
لب نوشش لب نوشش لب نوش",[[0.00463578 0.00545445 0.00683795 ... 0.02398707 0.0023612  0.0221456 ]],,283,غزلیات حافظ
283,"سحر ز هاتف غيبم رسيد مژده به گوش
که دور شاه شجاع است می دلير بنوش
شد آن که اهل نظر بر کناره می‌رفتند
هزار گونه سخن در دهان و لب خاموش
به صوت چنگ بگوييم آن حکايت‌ها
که از نهفتن آن ديگ سينه می‌زد جوش
شراب خانگی ترس محتسب خورده
به روی يار بنوشيم و بانگ نوشانوش
ز کوی ميکده دوشش به دوش می‌بردند
امام شهر که سجاده می‌کشيد به دوش
دلا دلالت خيرت کنم به راه نجات
مکن به فسق مباهات و زهد هم مفروش
محل نور تجليست رای انور شاه
چو قرب او طلبی در صفای نيت کوش
بجز ثنای جلالش مساز ورد ضمير
که هست گوش دلش محرم پيام سروش
رموز مصلحت ملک خسروان دانند
گدای گوشه نشينی تو حافظا مخروش","[[1.0802864e-02 6.1111728e-05 1.2912577e-02 ... 1.3071856e-02
  5.7169478e-03 1.9001592e-02]]",,284,غزلیات حافظ
284,"هاتفی از گوشه ميخانه دوش
گفت ببخشند گنه می بنوش
لطف الهی بکند کار خويش
مژده رحمت برساند سروش
اين خرد خام به ميخانه بر
تا می لعل آوردش خون به جوش
گر چه وصالش نه به کوشش دهند
هر قدر ای دل که توانی بکوش
لطف خدا بيشتر از جرم ماست
نکته سربسته چه دانی خموش
گوش من و حلقه گيسوی يار
روی من و خاک در می فروش
رندی حافظ نه گناهيست صعب
با کرم پادشه عيب پوش
داور دين شاه شجاع آن که کرد
روح قدس حلقه امرش به گوش
ای ملک العرش مرادش بده
و از خطر چشم بدش دار گوش","[[ 4.2432155e-03 -2.1692576e-05  2.9741898e-03 ...  1.6121570e-02
   8.6009530e-03  1.4553178e-02]]",,285,غزلیات حافظ
285,"در عهد پادشاه خطابخش جرم پوش
حافظ قرابه کش شد و مفتی پياله نوش
صوفی ز کنج صومعه با پای خم نشست
تا ديد محتسب که سبو می‌کشد به دوش
احوال شيخ و قاضی و شرب اليهودشان
کردم سال صبحدم از پير می فروش
گفتا نه گفتنيست سخن گر چه محرمی
درکش زبان و پرده نگه دار و می بنوش
ساقی بهار می‌رسد و وجه می‌نماند
فکری بکن که خون دل آمد ز غم به جوش
عشق است و مفلسی و جوانی و نوبهار
عذرم پذير و جرم به ذيل کرم بپوش
تا چند همچو شمع زبان آوری کنی
پروانه مراد رسيد ای محب خموش
ای پادشاه صورت و معنی که مثل تو
ناديده هيچ ديده و نشنيده هيچ گوش
چندان بمان که خرقه ازرق کند قبول
بخت جوانت از فلک پير ژنده پوش",[[0.00676005 0.0136338  0.00205267 ... 0.01863679 0.00524234 0.03282283]],,286,غزلیات حافظ
286,"دوش با من گفت پنهان کاردانی تيزهوش
و از شما پنهان نشايد کرد سر می فروش
گفت آسان گير بر خود کارها کز روی طبع
سخت می‌گردد جهان بر مردمان سختکوش
وان گهم درداد جامی کز فروغش بر فلک
زهره در رقص آمد و بربط زنان می‌گفت نوش
با دل خونين لب خندان بياور همچو جام
نی گرت زخمی رسد آيی چو چنگ اندر خروش
تا نگردی آشنا زين پرده رمزی نشنوی
گوش نامحرم نباشد جای پيغام سروش
گوش کن پند ای پسر و از بهر دنيا غم مخور
گفتمت چون در حديثی گر توانی داشت هوش
در حريم عشق نتوان زد دم از گفت و شنيد
زان که آن جا جمله اعضا چشم بايد بود و گوش
بر بساط نکته دانان خودفروشی شرط نيست
يا سخن دانسته گو ای مرد عاقل يا خموش
ساقيا می ده که رندی‌های حافظ فهم کرد
آصف صاحب قران جرم بخش عيب پوش","[[ 0.00436412 -0.0002951   0.02313522 ...  0.00205143 -0.000614
  -0.0010802 ]]",,287,غزلیات حافظ
287,"ای همه شکل تو مطبوع و همه جای تو خوش
دلم از عشوه شيرين شکرخای تو خوش
همچو گلبرگ طری هست وجود تو لطيف
همچو سرو چمن خلد سراپای تو خوش
شيوه و ناز تو شيرين خط و خال تو مليح
چشم و ابروی تو زيبا قد و بالای تو خوش
هم گلستان خيالم ز تو پرنقش و نگار
هم مشام دلم از زلف سمن سای تو خوش
در ره عشق که از سيل بلا نيست گذار
کرده‌ام خاطر خود را به تمنای تو خوش
شکر چشم تو چه گويم که بدان بيماری
می کند درد مرا از رخ زيبای تو خوش
در بيابان طلب گر چه ز هر سو خطريست
می‌رود حافظ بی‌دل به تولای تو خوش","[[ 0.00801913  0.01029553  0.00715174 ... -0.00086314  0.00584612
   0.02019139]]",,288,غزلیات حافظ
288,"کنار آب و پای بيد و طبع شعر و ياری خوش
معاشر دلبری شيرين و ساقی گلعذاری خوش
الا ای دولتی طالع که قدر وقت می‌دانی
گوارا بادت اين عشرت که داری روزگاری خوش
هر آن کس را که در خاطر ز عشق دلبری باريست
سپندی گو بر آتش نه که دارد کار و باری خوش
عروس طبع را زيور ز فکر بکر می‌بندم
بود کز دست ايامم به دست افتد نگاری خوش
شب صحبت غنيمت دان و داد خوشدلی بستان
که مهتابی دل افروز است و طرف لاله زاری خوش
می‌ای در کاسه چشم است ساقی را بناميزد
که مستی می‌کند با عقل و می‌بخشد خماری خوش
به غفلت عمر شد حافظ بيا با ما به ميخانه
که شنگولان خوش باشت بياموزند کاری خوش",[[0.00409696 0.01635376 0.00271857 ... 0.00374309 0.00514837 0.01709887]],,289,غزلیات حافظ
289,"مجمع خوبی و لطف است عذار چو مهش
ليکنش مهر و وفا نيست خدايا بدهش
دلبرم شاهد و طفل است و به بازی روزی
بکشد زارم و در شرع نباشد گنهش
من همان به که از او نيک نگه دارم دل
که بد و نيک نديده‌ست و ندارد نگهش
بوی شير از لب همچون شکرش می‌آيد
گر چه خون می‌چکد از شيوه چشم سيهش
چارده ساله بتی چابک شيرين دارم
که به جان حلقه به گوش است مه چاردهش
از پی آن گل نورسته دل ما يا رب
خود کجا شد که نديديم در اين چند گهش
يار دلدار من ار قلب بدين سان شکند
ببرد زود به جانداری خود پادشهش
جان به شکرانه کنم صرف گر آن دانه در
صدف سينه حافظ بود آرامگهش","[[ 6.1000267e-04 -1.2186792e-05  1.3655054e-03 ...  1.0325316e-02
   5.3628953e-03  2.2880400e-02]]",,290,غزلیات حافظ
